epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.901,0.79002,0.57263,1.14735,0.78879,0.78524,0.80737,0.58811,1.23768,0.95954,1.67487,0.000333003,0.000333003,0.000333003
2,915.566,0.80956,0.60366,1.15888,0.76533,0.7552,0.78274,0.56827,1.33649,1.19559,1.77226,0.000639949,0.000639949,0.000639949
3,1352.47,0.83071,0.63504,1.17083,0.7379,0.75412,0.76392,0.54926,1.34346,1.10436,1.8072,0.000920496,0.000920496,0.000920496
4,1790.3,0.8364,0.64424,1.17593,0.73872,0.78877,0.79108,0.56467,1.26086,1.00671,1.68149,0.0008812,0.0008812,0.0008812
5,2229.36,0.83191,0.63729,1.17411,0.7228,0.72015,0.75016,0.53824,1.2755,1.2543,1.69496,0.0008416,0.0008416,0.0008416
6,2665.16,0.8291,0.6212,1.1736,0.78497,0.75096,0.7887,0.56789,1.27854,1.09176,1.70912,0.000802,0.000802,0.000802
7,3105.45,0.82191,0.6263,1.16654,0.75345,0.74527,0.77791,0.5659,1.28705,1.14563,1.71716,0.0007624,0.0007624,0.0007624
8,3545.89,0.82195,0.61696,1.16682,0.71666,0.78246,0.77696,0.56281,1.25959,0.99507,1.68278,0.0007228,0.0007228,0.0007228
9,3988.78,0.81417,0.60803,1.15917,0.7355,0.77657,0.78495,0.57502,1.22518,1.04563,1.67511,0.0006832,0.0006832,0.0006832
10,4434.3,0.80094,0.59544,1.1547,0.69755,0.78241,0.7655,0.55961,1.30275,1.14598,1.75373,0.0006436,0.0006436,0.0006436
11,4876.88,0.79883,0.58215,1.15138,0.73884,0.7806,0.76156,0.55027,1.26657,1.09593,1.69133,0.000604,0.000604,0.000604
12,5314.86,0.78488,0.57332,1.14192,0.75923,0.78747,0.78674,0.57826,1.22468,1.04144,1.64992,0.0005644,0.0005644,0.0005644
13,5751.8,0.78032,0.56124,1.13722,0.75165,0.77837,0.77752,0.57711,1.24302,1.14556,1.68926,0.0005248,0.0005248,0.0005248
14,6189.18,0.77454,0.55488,1.13201,0.73075,0.77284,0.7777,0.57751,1.24642,1.16594,1.69013,0.0004852,0.0004852,0.0004852
15,6625.61,0.77046,0.54567,1.1354,0.76031,0.77428,0.78363,0.57446,1.28305,1.03983,1.75328,0.0004456,0.0004456,0.0004456
16,7039.32,0.7181,0.42811,1.13126,0.72016,0.7931,0.77703,0.57065,1.25204,1.05153,1.70342,0.000406,0.000406,0.000406
17,7445.57,0.69603,0.41077,1.11613,0.73743,0.79022,0.7975,0.58662,1.23494,1.01614,1.71204,0.0003664,0.0003664,0.0003664
18,7859.99,0.68459,0.39564,1.10342,0.74583,0.78013,0.79021,0.58696,1.25001,1.09544,1.72223,0.0003268,0.0003268,0.0003268
19,8272.18,0.67054,0.38644,1.09669,0.77221,0.78483,0.795,0.59459,1.21828,1.0342,1.69398,0.0002872,0.0002872,0.0002872
20,8676.78,0.65837,0.37223,1.08828,0.76723,0.79305,0.79353,0.59461,1.22749,1.05481,1.71893,0.0002476,0.0002476,0.0002476
21,9079.99,0.64799,0.36315,1.07756,0.74676,0.8018,0.79342,0.59232,1.24032,1.07375,1.73747,0.000208,0.000208,0.000208
22,9482.46,0.63688,0.35442,1.07328,0.7569,0.78413,0.78741,0.58859,1.2466,1.08474,1.75016,0.0001684,0.0001684,0.0001684
23,9887.29,0.63346,0.34824,1.06912,0.75154,0.8003,0.79227,0.59063,1.24376,1.02873,1.74875,0.0001288,0.0001288,0.0001288
24,10290.1,0.62269,0.34144,1.06128,0.75525,0.80503,0.79719,0.59622,1.2425,1.03735,1.7566,8.92e-05,8.92e-05,8.92e-05
25,10697.7,0.61631,0.33677,1.05607,0.75582,0.80235,0.80182,0.59813,1.23323,1.0245,1.75831,4.96e-05,4.96e-05,4.96e-05
